,ESC,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,PRINT,
super,,Show Help,,,,,,,,,,,,Take Screenshot (W),
super+shift,,,,,,,,,,,,,,Take Screenshot (Custom Area),
super+ctrl,,,,,,,,,,,,,,Take Screenshot (D),
,,,,,,,,,,,,,,,
,^,1,2,3,4,5,6,7,8,9,0,ß,`,Backspace,
super,,Switch to D1,Switch to D2,Switch to D3,Switch to D4,Switch to D5,Switch to D6,Switch to D7,Switch to D8,Lock Screen,Shutdown / Logout / Reboot / ...,,,,
super+shift,,Switch W to D1,Switch W to D2,Switch W to D3,Switch W to D4,Switch W to D5,Switch W to D6,Switch W to D7,Switch W to D8,,,,,,
super+ctrl,,Move W to D1,Move W to D2,Move W to D3,Move W to D4,Move W to D5,Move W to D6,Move W to D7,Move W to D8,,,,,,
,,,,,,,,,,,,,,,
,TAB,Q,W,E,R,T,Z,U,I,O,P,Ü,*,Enter,
super,Switch to last D,Toggle Split,Change layout to tabbed,Change layout to split,Resize,,,,,,Change display layout,,,Open new Terminal,
super+shift,Move to last D,Kill Window,,Exit,Restart i3,,,,,,,,,,
super+ctrl,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CAPS,A,S,D,F,G,H,J,K,L,Ö,Ä,#,Space,
super,,Focus parent,Change layout to stacking,Programm launcher,Toggle Fullscreen,,Focus left,Focus down,Focus up,Focus right,,,,Toggle focus,
super+shift,,,,,,Change gaps,Move left,Move down,Move up,Move right,,,,Toggle Floating,
super+ctrl,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,>,Y,X,C,V,B,N,M,",",.,-,Left,Up,Down,Right
super,,,,Calculator,,,,,,,Minimize,,,,
super+shift,,,,Reload i3 config,,,,,,,Restore minimized,,,,
super+ctrl,,,Xkill,,,,,,,,,Switch to prev D,,,Switch to next D
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,
W,Window,,,,,,,,,,,,,,
"D1, D2, D3, ...","Desktop/Workspace 1, 2, 3, ...",,,,,,,,,,,,,,
